ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1	325	704	0	5439	233229	0.999867	61.2783	0.1205	8510	233229	42.8809	15	104	11.0141	121.31	2.87067	0	42.8809	0	0	0	1.33315	5439	48.0927	0.0117125	0	0	0	0	0	0	
2	799	563	0	5425	226644	0.999845	56.7243	-1.71732	7035	226644	41.7777	17	108	8.6239	74.3717	2.80667	0	41.7777	0	0	0	1.3204	5425	47.9689	0.00758793	0	0	0	0	0	0	
3	806	638	0	5155	216831	0.99985	57.8132	-0.0967261	6468	216831	42.0623	18	100	7.3336	53.7817	2.77658	0	42.0623	0	0	0	1.34598	5155	45.5816	0.0116323	0	0	0	0	0	0	
4	401	653	0	5059	178468	0.999815	51.9788	-2.04039	7857	178468	35.2773	15	101	7.80032	60.845	1.71824	0	35.2773	0	0	0	1.44102	5059	44.7327	0.00744701	0	0	0	0	0	0	
5	526	778	0	4707	237213	0.999864	60.582	-0.493314	6708	237213	50.3958	13	129	10.7737	116.073	2.94453	0	50.3958	0	0	0	1.23456	4707	41.6202	0.0174466	0	0	0	0	0	0	
6	485	366	0	4641	185955	0.999772	46.7928	-1.95867	7000	185955	40.0679	19	92	9.20749	84.7779	2.36257	0	40.0679	0	0	0	1.43998	4641	41.0367	0.0041468	0	0	0	0	0	0	
7	301	456	0	4612	174955	0.999835	55.0285	-0.458219	7007	174955	37.9347	17	69	5.92722	35.1319	1.68723	0	37.9347	0	0	0	1.27639	4612	40.7802	0.0138947	0	0	0	0	0	0	
8	159	600	0	4481	199658	0.999842	56.3362	-0.945763	7426	199658	44.5566	17	122	9.98519	99.704	2.55476	0	44.5566	0	0	0	1.28982	4481	39.6219	0.0111684	0	0	0	0	0	0	
9	471	591	0	4249	161889	0.999831	54.3606	-0.267717	6603	161889	38.1005	15	65	7.61973	58.0603	1.54256	0	38.1005	0	0	0	1.27881	4249	37.5705	0.0178773	0	0	0	0	0	0	
10	705	915	0	4191	158568	0.999867	61.4162	0.369795	5396	158568	37.8354	18	81	8.98621	80.7519	2.50151	0	37.8354	0	0	0	1.15036	4191	37.0577	0	0	0	0	0	0	0	
11	719	813	0	4119	202001	0.99986	59.8383	0.663919	5256	202001	49.0413	19	153	12.326	151.93	4.06634	0	49.0413	0	0	0	1.15653	4119	36.421	0.00410413	0	0	0	0	0	0	
12	595	320	0	4117	205313	0.999814	51.857	-1.18765	6097	205313	49.8696	14	116	10.6552	113.532	3.53648	0	49.8696	0	0	0	1.23275	4117	36.4033	0.0115331	0	0	0	0	0	0	
13	796	820	0	3944	155246	0.999861	59.9809	0.584165	5112	155246	39.3626	16	87	9.79611	95.9639	2.88371	0	39.3626	0	0	0	1.13544	3944	34.8736	0	0	0	0	0	0	0	
14	785	901	0	3939	113317	0.999857	59.0621	0.366861	5254	113317	28.768	18	57	4.31745	18.6404	1.30332	0	28.768	0	0	0	1.13357	3939	34.8294	0	0	0	0	0	0	0	
