ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	749.00	659.00	0.00	29182.00	785701.00	1.00	128.78	0.77	65280.00	785701.00	26.92	7.00	44.00	4.49	20.18	1.47	0.00	26.92	0.00	0.00	0.00	2.70	29182.00	258.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	486.00	449.00	0.00	22677.00	580280.00	1.00	152.48	0.60	56400.00	580280.00	25.59	5.00	37.00	3.75	14.04	1.53	0.00	25.59	0.00	0.00	0.00	2.37	22677.00	200.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	898.00	678.00	0.00	19979.00	530228.00	1.00	120.38	0.41	34980.00	530228.00	26.54	3.00	42.00	5.04	25.42	1.37	0.00	26.54	0.00	0.00	0.00	2.01	19979.00	176.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	950.00	467.00	0.00	14618.00	398045.00	1.00	114.45	-0.30	29784.00	398045.00	27.23	7.00	42.00	4.52	20.41	1.81	0.00	27.23	0.00	0.00	0.00	1.92	14618.00	129.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	180.00	632.00	0.00	13724.00	318116.00	1.00	102.04	-2.06	33620.00	318116.00	23.18	7.00	33.00	3.03	9.18	1.24	0.00	23.18	0.00	0.00	0.00	2.09	13724.00	121.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	921.00	838.00	0.00	13561.00	351637.00	1.00	90.75	-1.53	27840.00	351637.00	25.93	7.00	45.00	4.58	20.98	1.42	0.00	25.93	0.00	0.00	0.00	2.03	13561.00	119.91	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	903.00	219.00	0.00	12444.00	314977.00	1.00	98.77	-1.19	31175.00	314977.00	25.31	3.00	38.00	3.73	13.90	1.53	0.00	25.31	0.00	0.00	0.00	1.88	12444.00	110.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	998.00	973.00	0.00	8864.00	262715.00	1.00	64.12	-0.10	12768.00	262715.00	29.64	9.00	41.00	5.44	29.64	1.56	0.00	29.64	0.00	0.00	0.00	1.64	8864.00	78.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	814.00	942.00	0.00	8861.00	236044.00	1.00	67.22	-1.75	13392.00	236044.00	26.64	13.00	41.00	4.48	20.10	1.55	0.00	26.64	0.00	0.00	0.00	1.64	8861.00	78.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	148.00	1013.00	0.00	8526.00	220093.00	1.00	56.16	-2.27	18340.00	220093.00	25.81	0.00	85.00	6.01	36.10	2.40	0.00	25.81	0.00	0.00	0.00	2.02	8526.00	75.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	541.00	249.00	0.00	8358.00	210528.00	1.00	84.22	-1.56	16328.00	210528.00	25.19	7.00	36.00	3.65	13.36	1.55	0.00	25.19	0.00	0.00	0.00	1.76	8358.00	73.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	1208.00	569.00	0.00	8316.00	224926.00	1.00	56.44	-1.56	11970.00	224926.00	27.05	8.00	41.00	4.95	24.50	1.64	0.00	27.05	0.00	0.00	0.00	1.86	8316.00	73.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
