ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	767.00	652.00	0.00	32196.00	3698558.00	1.00	146.74	0.58	65280.00	3698558.00	114.88	34.00	255.00	34.21	1170.31	7.60	0.00	114.88	0.00	0.00	0.00	2.56	32196.00	284.68	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	1124.00	711.00	0.00	18884.00	2105578.00	1.00	131.60	-1.45	42904.00	2105578.00	111.50	31.00	255.00	32.53	1058.21	8.49	0.00	111.50	0.00	0.00	0.00	1.89	18884.00	166.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	833.00	230.00	0.00	18675.00	1926081.00	1.00	120.92	-1.67	45360.00	1926081.00	103.14	34.00	255.00	31.33	981.45	6.86	0.00	103.14	0.00	0.00	0.00	2.11	18675.00	165.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	186.00	628.00	0.00	15607.00	1465917.00	1.00	115.32	-1.96	39150.00	1465917.00	93.93	33.00	255.00	28.25	797.87	6.48	0.00	93.93	0.00	0.00	0.00	2.10	15607.00	138.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	646.00	395.00	0.00	14396.00	1503734.00	1.00	128.11	-1.44	32274.00	1503734.00	104.45	36.00	255.00	28.26	798.56	7.34	0.00	104.45	0.00	0.00	0.00	1.97	14396.00	127.29	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	894.00	819.00	0.00	13145.00	1456860.00	1.00	115.73	-0.50	24192.00	1456860.00	110.83	33.00	255.00	35.94	1291.57	8.88	0.00	110.83	0.00	0.00	0.00	1.62	13145.00	116.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	374.00	986.00	0.00	11799.00	1158979.00	1.00	71.89	-0.52	22610.00	1158979.00	98.23	36.00	255.00	27.21	740.61	6.51	0.00	98.23	0.00	0.00	0.00	2.07	11799.00	104.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1307.00	455.00	0.00	10847.00	986846.00	1.00	92.92	-1.21	18676.00	986846.00	90.98	34.00	251.00	33.82	1143.78	6.44	0.00	90.98	0.00	0.00	0.00	1.57	10847.00	95.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	501.00	352.00	0.00	9876.00	901496.00	1.00	89.46	-0.18	16936.00	901496.00	91.28	34.00	255.00	35.25	1242.43	6.36	0.00	91.28	0.00	0.00	0.00	1.52	9876.00	87.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	654.00	546.00	0.00	9635.00	1041521.00	1.00	76.77	-1.57	15552.00	1041521.00	108.10	36.00	255.00	30.52	931.30	7.41	0.00	108.10	0.00	0.00	0.00	1.68	9635.00	85.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	1003.00	965.00	0.00	8707.00	1068345.00	1.00	67.12	-0.16	11424.00	1068345.00	122.70	35.00	255.00	38.54	1485.59	9.88	0.00	122.70	0.00	0.00	0.00	1.58	8707.00	76.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	921.00	699.00	0.00	8505.00	833134.00	1.00	82.17	-1.32	14125.00	833134.00	97.96	35.00	255.00	40.30	1623.95	7.38	0.00	97.96	0.00	0.00	0.00	1.56	8505.00	75.20	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	500.00	502.00	0.00	7059.00	668320.00	1.00	65.82	-1.69	11760.00	668320.00	94.68	37.00	255.00	33.28	1107.27	6.65	0.00	94.68	0.00	0.00	0.00	1.67	7059.00	62.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	1625.00	595.00	0.00	7011.00	692788.00	1.00	63.71	0.22	10736.00	692788.00	98.81	33.00	255.00	29.04	843.57	6.82	0.00	98.81	0.00	0.00	0.00	1.49	7011.00	61.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	989.00	308.00	0.00	6157.00	639762.00	1.00	58.96	-1.47	9102.00	639762.00	103.91	35.00	231.00	30.49	929.71	6.83	0.00	103.91	0.00	0.00	0.00	1.47	6157.00	54.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	833.00	376.00	0.00	5984.00	599469.00	1.00	61.28	-1.68	10624.00	599469.00	100.18	37.00	242.00	29.62	877.42	7.38	0.00	100.18	0.00	0.00	0.00	1.51	5984.00	52.91	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	536.00	234.00	0.00	5625.00	569508.00	1.00	41.04	-1.89	11324.00	569508.00	101.25	35.00	255.00	27.95	781.13	7.71	0.00	101.25	0.00	0.00	0.00	1.87	5625.00	49.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	964.00	128.00	0.00	5436.00	541592.00	1.00	63.99	0.68	10504.00	541592.00	99.63	37.00	255.00	29.70	882.21	7.74	0.00	99.63	0.00	0.00	0.00	1.56	5436.00	48.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	603.00	735.00	0.00	5389.00	600854.00	1.00	43.05	-2.04	12549.00	600854.00	111.50	34.00	255.00	33.99	1155.55	7.00	0.00	111.50	0.00	0.00	0.00	1.81	5389.00	47.65	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	1450.00	402.00	0.00	5380.00	534219.00	1.00	56.68	0.21	8056.00	534219.00	99.30	36.00	248.00	28.78	828.16	7.49	0.00	99.30	0.00	0.00	0.00	1.40	5380.00	47.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	1590.00	357.00	0.00	5245.00	509193.00	1.00	51.13	-0.61	8633.00	509193.00	97.08	39.00	253.00	27.25	742.37	7.02	0.00	97.08	0.00	0.00	0.00	1.52	5245.00	46.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	580.00	1022.00	0.00	5107.00	531943.00	1.00	63.71	0.52	6952.00	531943.00	104.16	40.00	255.00	31.72	1006.24	7.01	0.00	104.16	0.00	0.00	0.00	1.23	5107.00	45.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	1667.00	923.00	0.00	4888.00	468087.00	1.00	63.64	-0.98	6308.00	468087.00	95.76	40.00	255.00	27.12	735.65	6.21	0.00	95.76	0.00	0.00	0.00	1.21	4888.00	43.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	928.00	616.00	0.00	4796.00	573790.00	1.00	56.64	-0.03	6650.00	573790.00	119.64	39.00	255.00	34.78	1209.97	8.53	0.00	119.64	0.00	0.00	0.00	1.31	4796.00	42.41	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	1378.00	340.00	0.00	4766.00	435147.00	1.00	46.44	-1.72	6993.00	435147.00	91.30	34.00	255.00	32.19	1035.97	7.23	0.00	91.30	0.00	0.00	0.00	1.42	4766.00	42.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	855.00	956.00	0.00	4721.00	534014.00	1.00	64.52	0.33	5772.00	534014.00	113.11	39.00	255.00	33.34	1111.62	9.33	0.00	113.11	0.00	0.00	0.00	1.19	4721.00	41.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
27.00	1461.00	850.00	0.00	4679.00	461557.00	1.00	61.97	-0.89	6560.00	461557.00	98.64	37.00	218.00	25.97	674.30	6.67	0.00	98.64	0.00	0.00	0.00	1.21	4679.00	41.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
