ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	934.00	204.00	0.00	18847.00	833476.00	1.00	144.86	-1.89	50470.00	833476.00	44.22	14.00	218.00	13.55	183.67	2.28	0.00	44.22	0.00	0.00	0.00	1.72	18847.00	166.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	788.00	625.00	0.00	17899.00	700249.00	1.00	116.18	-1.89	29930.00	700249.00	39.12	11.00	53.00	5.18	26.81	1.44	0.00	39.12	0.00	0.00	0.00	2.15	17899.00	158.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	808.00	962.00	0.00	10173.00	390286.00	1.00	92.73	-1.02	17286.00	390286.00	38.36	16.00	51.00	4.62	21.36	1.25	0.00	38.36	0.00	0.00	0.00	1.63	10173.00	89.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	936.00	661.00	0.00	9177.00	369757.00	1.00	56.88	-0.26	15824.00	369757.00	40.29	15.00	51.00	5.09	25.90	1.44	0.00	40.29	0.00	0.00	0.00	1.95	9177.00	81.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	901.00	818.00	0.00	8945.00	330619.00	1.00	73.73	0.19	18512.00	330619.00	36.96	16.00	50.00	5.20	27.05	1.33	0.00	36.96	0.00	0.00	0.00	1.86	8945.00	79.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	161.00	1011.00	0.00	7939.00	611407.00	1.00	58.45	0.68	14478.00	611407.00	77.01	17.00	254.00	37.90	1436.18	4.95	0.00	77.01	0.00	0.00	0.00	1.83	7939.00	70.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	520.00	452.00	0.00	6727.00	259019.00	1.00	58.47	-0.12	12155.00	259019.00	38.50	17.00	46.00	4.55	20.69	1.71	0.00	38.50	0.00	0.00	0.00	1.68	6727.00	59.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1251.00	263.00	0.00	6666.00	251077.00	1.00	48.30	-0.62	16592.00	251077.00	37.67	15.00	50.00	5.63	31.70	1.74	0.00	37.67	0.00	0.00	0.00	2.16	6666.00	58.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	937.00	455.00	0.00	6418.00	251886.00	1.00	54.59	-2.03	10890.00	251886.00	39.25	16.00	48.00	5.80	33.68	1.49	0.00	39.25	0.00	0.00	0.00	1.63	6418.00	56.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	1476.00	629.00	0.00	6398.00	262126.00	1.00	52.87	-1.37	9900.00	262126.00	40.97	14.00	53.00	6.08	36.98	1.76	0.00	40.97	0.00	0.00	0.00	1.58	6398.00	56.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	447.00	543.00	0.00	6364.00	234618.00	1.00	69.62	0.51	14256.00	234618.00	36.87	15.00	45.00	3.92	15.39	1.54	0.00	36.87	0.00	0.00	0.00	1.76	6364.00	56.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	62.00	565.00	0.00	5555.00	199154.00	1.00	59.91	-0.42	9167.00	199154.00	35.85	14.00	43.00	3.92	15.36	1.31	0.00	35.85	0.00	0.00	0.00	1.38	5555.00	49.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
