ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	811.00	1037.00	1014.00	4959.00	207510.00	0.49	1.15	2.01	5920.00	207510.00	41.85	19.00	53.00	5.35	28.64	1.10	0.00	41.85	0.00	0.00	0.00	0.20	4959.00	43.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	733.00	655.00	812.00	4689.00	192883.00	0.81	1.71	2.44	7480.00	192883.00	41.14	16.00	53.00	5.33	28.41	1.38	0.00	41.14	0.00	0.00	0.00	0.27	4689.00	41.46	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	993.00	987.00	734.00	4620.00	176179.00	0.37	1.08	1.50	6391.00	176179.00	38.13	22.00	48.00	5.47	29.94	1.32	0.00	38.13	0.00	0.00	0.00	0.22	4620.00	40.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	1676.00	943.00	995.00	4587.00	186597.00	0.56	1.20	0.85	6004.00	186597.00	40.68	22.00	57.00	7.31	53.48	1.59	0.00	40.68	0.00	0.00	0.00	0.19	4587.00	40.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	486.00	1007.00	1678.00	4537.00	177934.00	0.46	1.13	1.99	6300.00	177934.00	39.22	22.00	46.00	4.30	18.50	1.36	0.00	39.22	0.00	0.00	0.00	0.15	4537.00	40.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	1563.00	841.00	487.00	4502.00	176460.00	0.64	1.30	-2.54	6004.00	176460.00	39.20	19.00	54.00	6.36	40.50	1.52	0.00	39.20	0.00	0.00	0.00	0.28	4502.00	39.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	171.00	993.00	1566.00	4471.00	409495.00	0.76	1.53	2.08	6970.00	409495.00	91.59	17.00	254.00	31.01	961.70	5.58	0.00	91.59	0.00	0.00	0.00	0.19	4471.00	39.53	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	836.00	959.00	174.00	4453.00	181236.00	0.54	1.19	1.83	5832.00	181236.00	40.70	18.00	51.00	4.29	18.37	1.30	0.00	40.70	0.00	0.00	0.00	0.43	4453.00	39.37	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	712.00	890.00	837.00	4410.00	177402.00	0.40	1.09	1.97	5846.00	177402.00	40.23	22.00	49.00	4.74	22.47	1.43	0.00	40.23	0.00	0.00	0.00	0.20	4410.00	38.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	1470.00	853.00	713.00	4283.00	177197.00	0.56	1.21	0.84	5850.00	177197.00	41.37	21.00	54.00	6.61	43.74	1.56	0.00	41.37	0.00	0.00	0.00	0.22	4283.00	37.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	1703.00	715.00	1472.00	4188.00	162171.00	0.55	1.20	-2.66	5688.00	162171.00	38.72	22.00	54.00	6.49	42.09	1.52	0.00	38.72	0.00	0.00	0.00	0.15	4188.00	37.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	774.00	945.00	1705.00	4134.00	147403.00	0.50	1.15	2.04	5382.00	147403.00	35.66	16.00	44.00	3.44	11.86	1.18	0.00	35.66	0.00	0.00	0.00	0.14	4134.00	36.55	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	918.00	466.00	775.00	4110.00	157623.00	0.64	1.30	2.89	6192.00	157623.00	38.35	17.00	47.00	5.99	35.87	1.40	0.00	38.35	0.00	0.00	0.00	0.22	4110.00	36.34	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	342.00	965.00	920.00	4107.00	158492.00	0.64	1.31	2.12	5822.00	158492.00	38.59	22.00	48.00	3.99	15.90	1.51	0.00	38.59	0.00	0.00	0.00	0.20	4107.00	36.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	1018.00	831.00	342.00	4051.00	157179.00	0.15	1.01	-2.94	5625.00	157179.00	38.80	21.00	49.00	5.24	27.43	1.47	0.00	38.80	0.00	0.00	0.00	0.29	4051.00	35.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	1381.00	770.00	1019.00	4020.00	166125.00	0.51	1.17	-2.48	5548.00	166125.00	41.32	19.00	56.00	6.26	39.14	1.61	0.00	41.32	0.00	0.00	0.00	0.18	4020.00	35.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	1689.00	817.00	1383.00	3824.00	153816.00	0.73	1.47	-2.42	5475.00	153816.00	40.22	19.00	54.00	6.99	48.92	1.72	0.00	40.22	0.00	0.00	0.00	0.17	3824.00	33.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	1477.00	773.00	1691.00	3797.00	157833.00	0.57	1.22	0.87	5037.00	157833.00	41.57	22.00	53.00	6.47	41.93	1.65	0.00	41.57	0.00	0.00	0.00	0.14	3797.00	33.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	917.00	823.00	1479.00	3737.00	150882.00	0.36	1.07	0.90	5472.00	150882.00	40.38	16.00	50.00	4.54	20.65	1.39	0.00	40.38	0.00	0.00	0.00	0.14	3737.00	33.04	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	1180.00	714.00	918.00	3691.00	147966.00	0.35	1.07	-2.58	4900.00	147966.00	40.09	19.00	53.00	5.54	30.68	1.64	0.00	40.09	0.00	0.00	0.00	0.18	3691.00	32.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	383.00	1024.00	1182.00	3644.00	132915.00	0.64	1.30	1.83	4941.00	132915.00	36.48	16.00	43.00	3.72	13.84	1.24	0.00	36.48	0.00	0.00	0.00	0.16	3644.00	32.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	1594.00	744.00	384.00	3643.00	142945.00	0.67	1.35	-2.49	5100.00	142945.00	39.24	22.00	53.00	6.44	41.44	1.59	0.00	39.24	0.00	0.00	0.00	0.29	3643.00	32.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	926.00	256.00	1596.00	3583.00	148647.00	0.72	1.43	2.72	4992.00	148647.00	41.49	15.00	51.00	5.42	29.43	1.58	0.00	41.49	0.00	0.00	0.00	0.15	3583.00	31.68	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	81.00	788.00	926.00	3574.00	130931.00	0.54	1.18	2.32	4757.00	130931.00	36.63	21.00	43.00	3.47	12.07	1.30	0.00	36.63	0.00	0.00	0.00	0.18	3574.00	31.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	828.00	740.00	82.00	3489.00	135823.00	0.33	1.06	2.48	4899.00	135823.00	38.93	17.00	47.00	4.43	19.60	1.38	0.00	38.93	0.00	0.00	0.00	0.50	3489.00	30.85	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	619.00	692.00	829.00	3391.00	130867.00	0.54	1.19	2.69	4410.00	130867.00	38.59	22.00	45.00	4.40	19.32	1.50	0.00	38.59	0.00	0.00	0.00	0.18	3391.00	29.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
27.00	243.00	634.00	620.00	3355.00	127369.00	0.64	1.30	2.67	4380.00	127369.00	37.96	21.00	44.00	3.68	13.51	1.38	0.00	37.96	0.00	0.00	0.00	0.21	3355.00	29.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
28.00	1123.00	656.00	244.00	3321.00	130002.00	0.37	1.08	-2.78	4485.00	130002.00	39.15	22.00	47.00	5.08	25.79	1.56	0.00	39.15	0.00	0.00	0.00	0.31	3321.00	29.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
29.00	1598.00	625.00	1125.00	3316.00	131160.00	0.65	1.31	-2.62	4380.00	131160.00	39.55	19.00	52.00	6.23	38.75	1.63	0.00	39.55	0.00	0.00	0.00	0.16	3316.00	29.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
30.00	1507.00	634.00	1600.00	3297.00	135525.00	0.62	1.27	-2.55	4410.00	135525.00	41.11	14.00	53.00	6.04	36.50	1.73	0.00	41.11	0.00	0.00	0.00	0.13	3297.00	29.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
31.00	852.00	213.00	1509.00	3236.00	205991.00	0.69	1.38	-2.64	4560.00	205991.00	63.66	16.00	218.00	21.22	450.10	5.05	0.00	63.66	0.00	0.00	0.00	0.15	3236.00	28.61	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
