ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	793.00	452.00	0.00	7115.00	633446.00	1.00	65.93	0.35	10560.00	633446.00	89.03	18.00	255.00	41.71	1739.75	7.63	0.00	89.03	0.00	0.00	0.00	1.48	7115.00	62.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	995.00	477.00	0.00	6540.00	576053.00	1.00	61.26	-0.76	11270.00	576053.00	88.08	22.00	255.00	32.14	1033.05	7.14	0.00	88.08	0.00	0.00	0.00	1.58	6540.00	57.83	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	898.00	665.00	0.00	5431.00	398835.00	1.00	56.34	-2.13	8700.00	398835.00	73.44	22.00	255.00	42.90	1840.69	7.17	0.00	73.44	0.00	0.00	0.00	1.40	5431.00	48.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	1440.00	509.00	0.00	5077.00	414686.00	1.00	59.74	-1.74	8632.00	414686.00	81.68	21.00	255.00	32.36	1047.06	5.33	0.00	81.68	0.00	0.00	0.00	1.38	5077.00	44.89	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	1623.00	946.00	0.00	5074.00	405943.00	1.00	61.63	-0.89	6880.00	405943.00	80.00	24.00	255.00	32.68	1068.27	6.99	0.00	80.00	0.00	0.00	0.00	1.25	5074.00	44.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	482.00	569.00	0.00	5065.00	400052.00	1.00	57.99	-0.19	7524.00	400052.00	78.98	20.00	245.00	36.69	1346.32	6.07	0.00	78.98	0.00	0.00	0.00	1.36	5065.00	44.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	819.00	237.00	0.00	4979.00	368308.00	1.00	51.85	0.68	8645.00	368308.00	73.97	20.00	255.00	34.66	1201.34	6.70	0.00	73.97	0.00	0.00	0.00	1.53	4979.00	44.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1837.00	596.00	0.00	4918.00	319980.00	1.00	66.65	0.39	8464.00	319980.00	65.06	23.00	245.00	29.39	864.02	4.59	0.00	65.06	0.00	0.00	0.00	1.21	4918.00	43.49	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	175.00	357.00	0.00	4829.00	314320.00	1.00	49.85	-0.26	7371.00	314320.00	65.09	22.00	255.00	27.13	736.23	5.49	0.00	65.09	0.00	0.00	0.00	1.51	4829.00	42.70	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	748.00	549.00	0.00	4809.00	349343.00	1.00	61.66	0.31	7440.00	349343.00	72.64	19.00	217.00	36.01	1296.82	5.54	0.00	72.64	0.00	0.00	0.00	1.28	4809.00	42.52	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
