ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	634.00	551.00	0.00	5911.00	631240.00	1.00	60.06	-0.28	8748.00	631240.00	106.79	35.00	233.00	27.14	736.82	7.12	0.00	106.79	0.00	0.00	0.00	1.38	5911.00	52.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	968.00	925.00	0.00	5791.00	648531.00	1.00	63.29	-0.39	9804.00	648531.00	111.99	34.00	255.00	40.13	1610.24	8.55	0.00	111.99	0.00	0.00	0.00	1.36	5791.00	51.21	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	136.00	654.00	0.00	5738.00	544884.00	1.00	62.08	-1.11	9152.00	544884.00	94.96	38.00	235.00	26.19	685.94	5.68	0.00	94.96	0.00	0.00	0.00	1.32	5738.00	50.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	485.00	1011.00	0.00	5025.00	495172.00	1.00	63.76	0.61	6794.00	495172.00	98.54	36.00	243.00	25.45	647.82	6.09	0.00	98.54	0.00	0.00	0.00	1.22	5025.00	44.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	589.00	1015.00	0.00	4933.00	530092.00	1.00	65.86	-2.23	6480.00	530092.00	107.46	37.00	253.00	31.11	967.87	6.93	0.00	107.46	0.00	0.00	0.00	1.22	4933.00	43.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	386.00	995.00	0.00	4919.00	476045.00	1.00	62.34	0.61	6630.00	476045.00	96.78	35.00	255.00	30.54	932.66	6.57	0.00	96.78	0.00	0.00	0.00	1.22	4919.00	43.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	859.00	978.00	0.00	4869.00	562642.00	1.00	65.56	0.25	6000.00	562642.00	115.56	37.00	255.00	35.84	1284.66	9.59	0.00	115.56	0.00	0.00	0.00	1.20	4869.00	43.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	120.00	1037.00	0.00	4825.00	420266.00	1.00	59.71	0.78	6396.00	420266.00	87.10	38.00	241.00	24.18	584.45	5.20	0.00	87.10	0.00	0.00	0.00	1.25	4825.00	42.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	338.00	944.00	0.00	4742.00	445787.00	1.00	61.02	0.65	6160.00	445787.00	94.01	34.00	251.00	28.07	787.82	5.84	0.00	94.01	0.00	0.00	0.00	1.22	4742.00	41.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	1461.00	854.00	0.00	4737.00	474572.00	1.00	62.34	-0.93	6560.00	474572.00	100.18	38.00	243.00	26.89	723.24	6.72	0.00	100.18	0.00	0.00	0.00	1.20	4737.00	41.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	720.00	658.00	0.00	4731.00	599598.00	1.00	60.74	-2.27	6723.00	599598.00	126.74	34.00	255.00	30.10	906.07	8.06	0.00	126.74	0.00	0.00	0.00	1.22	4731.00	41.83	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	465.00	507.00	0.00	4668.00	376620.00	1.00	55.72	-1.05	6942.00	376620.00	80.68	35.00	246.00	30.89	954.24	4.69	0.00	80.68	0.00	0.00	0.00	1.29	4668.00	41.28	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	962.00	687.00	0.00	4631.00	503232.00	1.00	55.01	-1.48	7560.00	503232.00	108.67	38.00	255.00	35.09	1231.28	7.13	0.00	108.67	0.00	0.00	0.00	1.27	4631.00	40.95	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	1672.00	913.00	0.00	4615.00	433485.00	1.00	58.60	-0.79	6400.00	433485.00	93.93	39.00	248.00	26.86	721.34	5.94	0.00	93.93	0.00	0.00	0.00	1.22	4615.00	40.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	1571.00	839.00	0.00	4510.00	426044.00	1.00	59.44	-0.80	6240.00	426044.00	94.47	36.00	254.00	27.19	739.56	6.89	0.00	94.47	0.00	0.00	0.00	1.20	4510.00	39.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
